"ClassNames"	"ttc.sorted"
"Gammaproteobacteria_"	"Gammaproteobacteria"	"16"
"Alphaproteobacteria_"	"Alphaproteobacteria"	"10"
"Bacteroidia_"	"Bacteroidia"	"15"
"Rhodothermia_"	"Rhodothermia"	"1"
"Verrucomicrobiae_"	"Verrucomicrobiae"	"3"
"Phycisphaerae_"	"Phycisphaerae"	"2"
"Actinobacteria_"	"Actinobacteria"	"9"
"Acidimicrobiia_"	"Acidimicrobiia"	"1"
"SL56.marine.group_"	"SL56.marine.group"	"1"
