	E-DS-623	E-JT-526	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-SOG-3619	E-SOG-6527	E-SOG-5527	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-SOG-2527	E-LH-2016	E-BP-2016	E-PM-Aug-2013	E-TI-2014	E-SOG-6424	E-SOG-1619	E-JP-2016	E-SOG-2619	E-FR-2014	E-LS-428	E-SOG-7424	E-WV-Aug-2014	E-WC-2016	E-SOG-1527	E-WV-7-2014	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-PM-7-2014	E-MT-526	E-Tca-2014	E-WP-526	E-PM-2016	E-SOG-4424	E-WP-623	E-SOG-4527	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-JT-623	E-DU-7-2014	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-MT-428	E-TC-2014	E-TL-7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424
E-SOG-7424	0.44608863	0.42616744	0.44372037	0.57541374	0.52031613	0.20373411	0.4545943	0.44844385	0.2640475	0.30623182	0.4221918	0.46904781	0.34431463	0.27876829	0.43570172	0.2292154	0.24910648	0.3138473	0.32128644	0.13235478	0.43712713	0.19538533	0.39017674	0.43340743	0.43458594	0.0	0.33148482	0.22110389	0.33504298	0.28446513	0.46143682	0.22467668	0.31981716	0.2724636	0.45130868	0.45231459	0.4387041	0.24759375	0.34277497	0.4415094	0.34489423	0.44676921	0.43109385	0.22481921	0.27102641	0.45315575	0.30658557	0.53322052	0.23891544	0.45565374	0.42820267	0.3232969	0.43579451	0.4383946	0.40891019	0.29250516	0.51587083	0.14599343
E-WV-Aug-2014	0.45060181	0.45926162	0.47266071	0.55305302	0.50092533	0.27472327	0.46211202	0.45052763	0.33039576	0.36076776	0.431336	0.48775943	0.38238537	0.40243091	0.45358444	0.31337118	0.33091146	0.18047838	0.34259436	0.33485484	0.44285725	0.29479087	0.4001435	0.44212203	0.44629484	0.33148482	0.0	0.37026509	0.37688502	0.27517795	0.45864368	0.23354986	0.18001628	0.37505758	0.4686101	0.48656737	0.46414854	0.38280097	0.37498167	0.45740212	0.35454183	0.47359369	0.46000587	0.32012171	0.31442217	0.45694117	0.27087233	0.5308882	0.20822958	0.46771386	0.46190321	0.33079418	0.48186715	0.45717294	0.43307331	0.34070286	0.52169747	0.31876239
E-WC-2016	0.38483542	0.38155169	0.37881594	0.53168671	0.4561377	0.19229152	0.41843541	0.40256928	0.19803523	0.32412567	0.37614473	0.43268348	0.3161141	0.27026874	0.36545697	0.20184555	0.21233195	0.33177013	0.32225177	0.26296297	0.3945039	0.17091868	0.35666129	0.39568852	0.39962191	0.22110389	0.37026509	0.0	0.29756293	0.29376986	0.39755037	0.24299173	0.29354867	0.27026661	0.40525411	0.39900396	0.38444755	0.1875217	0.36507292	0.39139459	0.30731246	0.4171018	0.40673402	0.19722944	0.3551224	0.4105833	0.32404606	0.46987293	0.23949847	0.40930759	0.3916899	0.33137733	0.38752214	0.39846357	0.39303386	0.31527513	0.49683778	0.26757166
E-SOG-1527	0.25333175	0.23206138	0.22862203	0.40834286	0.36548307	0.28639057	0.24168428	0.27292907	0.27784796	0.3811939	0.43657638	0.32060213	0.43627047	0.34395379	0.18040068	0.22433192	0.21816394	0.3504827	0.28753326	0.2614259	0.23557309	0.29491669	0.22239966	0.26592849	0.22565824	0.33504298	0.37688502	0.29756293	0.0	0.30413907	0.25241068	0.27998226	0.32871682	0.32285102	0.23471446	0.22373643	0.22787654	0.31322645	0.17326591	0.26420386	0.12915397	0.24206145	0.23486141	0.20478821	0.27397997	0.27176787	0.30534865	0.38908768	0.3047226	0.30143456	0.23990013	0.27740684	0.23859929	0.22373044	0.21214249	0.1373372	0.53529879	0.24144151
E-WV-7-2014	0.42837718	0.43401013	0.44219068	0.53484513	0.48191804	0.23353348	0.42766083	0.42046022	0.24948067	0.33179937	0.44522045	0.45023606	0.3471304	0.29957138	0.41909081	0.19415593	0.21333617	0.26735339	0.21095471	0.25782089	0.4164702	0.22828562	0.38181131	0.42286684	0.41018121	0.28446513	0.27517795	0.29376986	0.30413907	0.0	0.43474959	0.18806739	0.29216493	0.23658321	0.43681773	0.44905536	0.43412249	0.28639344	0.34199442	0.44245263	0.2886812	0.43943178	0.42613066	0.2085025	0.24941476	0.44701728	0.16537278	0.53250819	0.17873479	0.46406733	0.43518534	0.20000627	0.43812228	0.42370095	0.39810794	0.30338911	0.52806108	0.2461513
E-LS-623	0.09442807	0.1672475	0.12885437	0.2801755	0.26769159	0.46122501	0.13258642	0.18845655	0.33176614	0.4336908	0.4323309	0.32264149	0.45442113	0.52871047	0.1699136	0.4062558	0.40059258	0.44205484	0.456403	0.40968612	0.11474727	0.46084131	0.13021764	0.14753283	0.13386252	0.46143682	0.45864368	0.39755037	0.25241068	0.43474959	0.0	0.4473532	0.47673728	0.52399166	0.11605772	0.23462485	0.13400286	0.49635459	0.18169475	0.12274838	0.21347449	0.14355813	0.13696887	0.34407621	0.38184465	0.10708023	0.38917693	0.26987004	0.44322414	0.19610244	0.16961643	0.4730554	0.22324039	0.11293056	0.15129837	0.22122216	0.53220165	0.38408021
E-TB-2016	0.44045641	0.42082744	0.42932443	0.55201508	0.51566133	0.10019651	0.43839884	0.44032431	0.25688352	0.33742606	0.44584624	0.46304399	0.33561621	0.26574573	0.40256212	0.12574278	0.15434562	0.21253886	0.23671882	0.20350592	0.42726801	0.12551597	0.38785552	0.43572041	0.42096464	0.22467668	0.23354986	0.24299173	0.27998226	0.18806739	0.4473532	0.0	0.22069394	0.23331344	0.43468496	0.43206455	0.42373576	0.21158247	0.34512039	0.44762774	0.29650119	0.43928595	0.42932397	0.16902773	0.25947899	0.45483249	0.19160189	0.52509442	0.11620508	0.46601954	0.42488475	0.23469024	0.43089369	0.4209751	0.40003381	0.28838276	0.52492789	0.19627603
E-PM-Jula-2014	0.46888899	0.45159244	0.45945395	0.58024172	0.54137397	0.21108063	0.46734574	0.47010883	0.32874966	0.39599844	0.44879818	0.47619263	0.41167751	0.29659545	0.42816584	0.26639904	0.27553876	0.16930976	0.30069332	0.32451784	0.46061357	0.22767651	0.43049588	0.47151299	0.453536	0.31981716	0.18001628	0.29354867	0.32871682	0.29216493	0.47673728	0.22069394	0.0	0.309828	0.46660388	0.45365671	0.45553058	0.28390211	0.39947833	0.47513422	0.35510825	0.47005849	0.46609329	0.30604637	0.36502167	0.48529353	0.31119475	0.54478522	0.19375092	0.48898528	0.45985545	0.26057436	0.45285651	0.45752278	0.43992439	0.3479161	0.54763043	0.31401515
E-PM-7-2014	0.51804601	0.50103798	0.50034555	0.60604324	0.56997521	0.20265263	0.50795762	0.50131533	0.3232441	0.40622848	0.52318664	0.50378571	0.41473301	0.16273943	0.45164462	0.21028564	0.197135	0.3289426	0.21854554	0.28205322	0.50382501	0.18969939	0.46346652	0.51966451	0.4932213	0.2724636	0.37505758	0.27026661	0.32285102	0.23658321	0.52399166	0.23331344	0.309828	0.0	0.50938884	0.45820743	0.49956878	0.16017277	0.42825823	0.52135726	0.38025783	0.50860291	0.50267451	0.26344241	0.34162093	0.53750723	0.28768139	0.59675868	0.25248704	0.53963026	0.49859043	0.17263208	0.47779725	0.50045608	0.47628829	0.38472424	0.59388293	0.29082865
E-MT-526	0.11852769	0.11598692	0.08787641	0.31058798	0.26087327	0.44905313	0.10964844	0.19813895	0.33896336	0.45221914	0.4538951	0.30233639	0.47050915	0.51194359	0.1176576	0.39108718	0.39296758	0.44167602	0.44391286	0.39548286	0.10689789	0.44848265	0.14097228	0.15506169	0.12082116	0.45130868	0.4686101	0.40525411	0.23471446	0.43681773	0.11605772	0.43468496	0.46660388	0.50938884	0.0	0.19070007	0.0795893	0.48254585	0.17573251	0.12623674	0.20693791	0.12237005	0.12116179	0.33381823	0.38643559	0.12976027	0.40391253	0.29024194	0.4350108	0.18634674	0.12907967	0.46242514	0.20025551	0.06384608	0.12744525	0.20726936	0.55041151	0.36953009
