"ClassNames"	"ttc.sorted"
"Gammaproteobacteria_"	"Gammaproteobacteria"	"53"
"Alphaproteobacteria_"	"Alphaproteobacteria"	"51"
"Campylobacteria_"	"Campylobacteria"	"3"
"Deltaproteobacteria_"	"Deltaproteobacteria"	"6"
"Bacteroidia_"	"Bacteroidia"	"79"
"Rhodothermia_"	"Rhodothermia"	"1"
"Verrucomicrobiae_"	"Verrucomicrobiae"	"13"
"Planctomycetacia_"	"Planctomycetacia"	"5"
"Phycisphaerae_"	"Phycisphaerae"	"4"
"OM190_"	"OM190"	"2"
"marine.metagenome_"	"marine.metagenome"	"1"
"uncultured.marine.bacterium_"	"uncultured.marine.bacterium"	"1"
"uncultured.bacterium_"	"uncultured.bacterium"	"1"
"marine.metagenome_.1"	"marine.metagenome.1"	"1"
"Actinobacteria_"	"Actinobacteria"	"24"
"Acidimicrobiia_"	"Acidimicrobiia"	"14"
"Oxyphotobacteria_"	"Oxyphotobacteria"	"17"
"Dehalococcoidia_"	"Dehalococcoidia"	"1"
"SL56.marine.group_"	"SL56.marine.group"	"1"
