	WV7A	PM7C	TL7A	E-s-PM-3-Aug	WV7B	DU7C	DU7A	FR7A	FR7C	TC7B	PM7A	Tca7B	Tca7C	TL7B	TI7A	E-b-DU-1-Jul-a	TL7C	E-b-WV-3-Aug	FR7B	DU7B	TC7A	E-f-TL-3-Jul-a	TC7C	E-b-WV-2-Aug	E-b-DU-3-Jul-a	E-s-PM-2-Aug	Tca7A	E-b-WV-1-Aug	E-s-PM-2-Jul-a	E-b-DU-2-Jul-a	E-s-PM-1-Aug	E-f-TL-2-Jul-a	E-s-PM-3-Jul-a	E-f-TL-2-Aug	E-f-TL-3-Aug	E-f-TL-1-Aug	E-s-PM-1-Jul-a	E-f-TL-1-Jul-a	E-BP-2016-3	E-WC-2016-3	E-JP-2016-2	E-VP-2016-2	E-LH-2016-1	E-JP-2016-1	E-VP-2016-3	E-BP-2016-2	E-TB-2016-1	E-CB-2016-2	E-DU-2016-3	E-DU-2016-1	E-TB-2016-3	E-VP-2016-1	E-JP-2016-3	E-LH-2016-3	E-BL-2016-3	E-CB-2016-1	E-PM-2016-3	E-CB-2016-3	E-WC-2016-1	E-LH-2016-2	E-BL-2016-2	E-TL-2016-1	E-DU-2016-2	E-CR-2016-1	E-WC-2016-2	R.wp.5.26.r1	S.st.1.5.27.r1	R.mt.5.26.r1	R.jt.4.28.r1	S.st.4.4.24.r1	S.st.7.4.24.r1	S.st.3.4.24.r3	R.ls.4.28.r3	R.jt.4.28.r2	S.st.5.5.27.r2	R.ds.6.23.r.2	R.wp.5.26.r3	S.st.2.6.19.r2	S.st.5.4.24.r3	R.mt.6.23.r.3	S.st.1.4.24.r1	S.st.6.6.19.r2	S.st.4.5.27.r3	R.ls.6.23.r.2	S.st.4.4.24.r2	S.st.1.5.27.r2	R.ls.4.28.r1	R.Jt.6.23.r.3	S.st.1.6.19.r2	S.st.6.6.19.r1	S.st.5.4.24.r2	S.st.2.6.19.r3	R.mt.6.23.r.2	S.st.3.5.27.r2	S.st.6.5.27.r1	R.wp.4.28.r3	S.st.1.6.19.r3	S.st.3.4.24.r1	S.st.2.5.27.r2	S.st.4.5.27.r1	S.st.1.4.24.r2	S.st.6.4.24.r1	R.mt.4.28.r2	S.st.1.4.24.r3	S.st.6.4.24.r3	S.st.3.5.27.r1	R.ls.4.28.r2	S.st.5.6.19.r3	R.wp.4.28.r2	S.st.2.4.24.r3	R.jt.4.28.r3	R.ds.4.28.r3	R.wp.6.23.r.3	S.st.2.5.27.r3	R.Jt.6.23.r.1	S.st.2.6.19.r1	S.st.2.4.24.r1	S.st.2.4.24.r2	R.mt.5.26.r3	S.st.7.4.24.r2	R.wp.6.23.r.1	R.ls.6.23.r.1	R.J.5.26.r3	S.st.3.6.19.r1	R.mt.5.26.r2	R.ls.6.23.r.3	R.ls.5.26.r1	R.ds.4.28.r2	S.st.5.4.24.r1	S.st.4.4.24.r3	R.ds.4.28.r1	S.st.1.6.19.r1	S.st.3.5.27.r3	S.st.7.4.24.r3	R.ls.5.26.r3	R.ds.6.23.r.3	R.Jt.6.23.r.2	S.st.6.5.27.r2	S.st.2.5.27.r1	R.wp.4.28.r1	S.st.4.5.27.r2	R.J.5.26.r1	R.ls.5.26.r2	S.st.6.4.24.r2	S.st.1.5.27.r3	R.wp.6.23.r.2	S.st.6.6.19.r3	R.mt.6.23.r.1	R.J.5.26.r2	R.wp.5.26.r2
WV7A	0.0	0.24489223	0.43807326	0.25022172	0.06941689	0.1586665	0.14250642	0.43098617	0.41845894	0.22568942	0.21882369	0.44719267	0.43690162	0.44498521	0.23120369	0.15637792	0.43312182	0.29187714	0.4369391	0.15419413	0.21073203	0.43402647	0.19079143	0.2598129	0.1831074	0.26135612	0.44512031	0.27614889	0.29004276	0.16359857	0.27894176	0.44402484	0.28516027	0.43184849	0.42429016	0.40828699	0.29144247	0.46104402	0.23005451	0.31026353	0.37222595	0.22347222	0.22325873	0.27584127	0.27294572	0.25041169	0.24692739	0.2969469	0.19874796	0.29482974	0.19920032	0.26422242	0.21704207	0.21105377	0.5613302	0.33398924	0.28460564	0.30871396	0.28208451	0.22590616	0.50360227	0.48046771	0.29373947	0.53188373	0.21186555	0.43923753	0.29390743	0.43315419	0.42198759	0.3395317	0.27316859	0.39858117	0.4237242	0.41384998	0.44177669	0.42589343	0.44161103	0.38288549	0.25231187	0.47016449	0.26389206	0.56636022	0.29300309	0.42594935	0.35110114	0.30104228	0.41899454	0.43784099	0.4042132	0.52385025	0.25692042	0.38117627	0.46691248	0.43422107	0.34081414	0.43739726	0.4067175	0.39403323	0.41346902	0.27107857	0.26594316	0.26729148	0.44009355	0.24736791	0.25855275	0.42235633	0.41550804	0.3541685	0.43481859	0.31954421	0.42415214	0.42037533	0.42848876	0.4038675	0.44375645	0.37673217	0.30221396	0.29509949	0.44136511	0.32768316	0.43730696	0.41090886	0.44267807	0.23590986	0.43335653	0.4365155	0.44348256	0.43599197	0.26571152	0.35337339	0.42971505	0.39577621	0.42596958	0.31607668	0.43333675	0.43245826	0.43693646	0.31827625	0.40947908	0.43830694	0.26510251	0.44579707	0.44165596	0.25046473	0.33462101	0.44147882	0.41585996	0.44534177	0.41480713	0.33826132
PM7C	0.24489223	0.0	0.46320793	0.31676957	0.2382602	0.27421393	0.26599467	0.52682568	0.51530233	0.16543103	0.04817538	0.45220444	0.46874503	0.47835668	0.23394246	0.25539891	0.49144773	0.35759721	0.53007407	0.28471716	0.18727556	0.48276354	0.15804576	0.36680607	0.25116379	0.34980863	0.47564762	0.36649096	0.32126039	0.23205456	0.34858735	0.50692549	0.32114998	0.51461794	0.50612973	0.48708326	0.31744664	0.53175733	0.27576108	0.32086304	0.21736612	0.17615465	0.2680312	0.33172488	0.34136635	0.12615938	0.30943252	0.15397639	0.26168301	0.31137305	0.16535999	0.14525949	0.16654196	0.14177506	0.61902861	0.15819349	0.13659569	0.15463451	0.26063006	0.18084465	0.57000484	0.57251188	0.29522552	0.6033963	0.1848987	0.5005345	0.3255524	0.50698662	0.48809108	0.42533527	0.3316261	0.46754476	0.49596447	0.49169503	0.5287545	0.52982242	0.49559916	0.48600582	0.3152002	0.5403588	0.35081421	0.64089257	0.39412966	0.51859156	0.43553347	0.32334285	0.49074877	0.5359438	0.49703193	0.6038623	0.34124489	0.48000324	0.54198161	0.501674	0.41558927	0.51313389	0.49661745	0.47065998	0.43728163	0.35745158	0.35697115	0.28339455	0.49664652	0.3404179	0.28651622	0.49126012	0.49900623	0.42242385	0.49308344	0.38998432	0.49113313	0.49886748	0.51902225	0.45418155	0.53543728	0.47939748	0.37737015	0.37858046	0.49781834	0.31820685	0.53249705	0.51050169	0.50854562	0.31780283	0.50553668	0.52667947	0.49324135	0.51560218	0.27499583	0.43154386	0.5080329	0.47705268	0.49887247	0.31236831	0.51040894	0.52128165	0.53367393	0.41282824	0.46035059	0.50466891	0.35923434	0.5218365	0.51206345	0.28196146	0.2971588	0.52548699	0.50001471	0.52751524	0.4818167	0.42696415
TL7A	0.43807326	0.46320793	0.0	0.46928864	0.45491849	0.39697636	0.40254628	0.22391693	0.21985816	0.4267466	0.44901881	0.09094119	0.09238176	0.10258927	0.42346311	0.42595172	0.09667524	0.50073822	0.22722812	0.37842237	0.42462831	0.25770207	0.42266405	0.49480132	0.43505806	0.4598886	0.07707595	0.48320055	0.45760716	0.42921623	0.4771792	0.25560892	0.45851635	0.20728095	0.20757736	0.19915533	0.45329343	0.3118378	0.31035095	0.40658901	0.45980133	0.40364306	0.30940151	0.47006695	0.47427944	0.41744465	0.44595607	0.46575142	0.3327866	0.39771966	0.38961396	0.4209411	0.37869793	0.40203511	0.46623062	0.47865996	0.43250632	0.46702222	0.39247949	0.4087694	0.35352245	0.34821511	0.40998521	0.39119927	0.39830649	0.20428641	0.24502423	0.18725617	0.18824189	0.2327478	0.42464463	0.21052779	0.19253042	0.19992594	0.48744195	0.24604781	0.20643199	0.25563775	0.36132541	0.29813523	0.40826192	0.60450184	0.28102629	0.23419797	0.22452252	0.24284268	0.1893083	0.24903611	0.23792806	0.57105327	0.38486522	0.24739313	0.29565466	0.21345531	0.45101838	0.206314	0.22807212	0.21255841	0.19222292	0.26189235	0.38754368	0.35801376	0.17576279	0.38722357	0.36898801	0.18925229	0.216649	0.50802984	0.18097439	0.22901765	0.18904764	0.18106053	0.237735	0.1834566	0.24053521	0.24673799	0.24324022	0.26913573	0.20297599	0.45452534	0.23374422	0.23411972	0.21486241	0.36924254	0.19154087	0.23684218	0.1648726	0.22082153	0.3622685	0.22784953	0.19684037	0.22849977	0.19357898	0.44324682	0.20438027	0.22239428	0.22251614	0.48907831	0.1895353	0.19457572	0.27545889	0.21770741	0.19677568	0.38098695	0.25925977	0.25303134	0.49882732	0.24661251	0.17715749	0.36048278
E-s-PM-3-Aug	0.25022172	0.31676957	0.46928864	0.0	0.23512367	0.26664142	0.25953878	0.44876517	0.44245898	0.29403224	0.30261589	0.46307081	0.46684314	0.47331361	0.32723885	0.20794194	0.45646294	0.19020072	0.45516496	0.27276435	0.28727857	0.46591165	0.26950377	0.20573426	0.18961666	0.1210113	0.47014781	0.19326449	0.16579806	0.22664227	0.07959236	0.48275712	0.17682333	0.45181669	0.44511354	0.43852145	0.15953643	0.49638492	0.30542143	0.31520867	0.38178679	0.27015742	0.30215643	0.18600769	0.18807088	0.30404933	0.16703175	0.31149598	0.27589648	0.30053056	0.28235516	0.30969782	0.28606723	0.28467315	0.55215022	0.3273249	0.3170292	0.31151436	0.31200723	0.27047356	0.49047389	0.50851405	0.30098029	0.54885147	0.27919815	0.44844801	0.34209519	0.44977661	0.45507305	0.37881184	0.28670841	0.42077053	0.44446112	0.43967202	0.43038735	0.45619875	0.44882347	0.41156749	0.30356563	0.45685599	0.3342921	0.57427544	0.34212321	0.44341773	0.37943666	0.35360826	0.44065438	0.46470907	0.42577268	0.54035777	0.30967228	0.40669753	0.4640944	0.44821671	0.35456554	0.45997478	0.4258304	0.41807283	0.42859936	0.33799073	0.34752204	0.29522484	0.46079415	0.32916833	0.29310011	0.44196831	0.43459636	0.39160656	0.45740185	0.35918021	0.44768216	0.44078115	0.4482768	0.43023094	0.46049925	0.41069337	0.34392548	0.33708587	0.45399937	0.32271206	0.4589527	0.4351138	0.45244169	0.27876288	0.44885297	0.45159804	0.45716724	0.45414595	0.29338242	0.38937241	0.45077929	0.41450161	0.44811982	0.3206673	0.45094635	0.4445661	0.45951414	0.36812927	0.430273	0.46108518	0.31972985	0.45836091	0.45408028	0.29006471	0.38069527	0.45034188	0.42213952	0.45490699	0.43572695	0.37732908
WV7B	0.06941689	0.2382602	0.45491849	0.23512367	0.0	0.15109031	0.14446011	0.43723216	0.42741321	0.24146391	0.2135625	0.46509432	0.45822045	0.46363662	0.24836802	0.15947547	0.44913801	0.26883279	0.44491235	0.1728252	0.22321236	0.45654722	0.20245556	0.24127385	0.16643665	0.24199601	0.46446608	0.25684338	0.28128187	0.14006944	0.25949823	0.46553343	0.276508	0.44654398	0.44118919	0.42774526	0.28286658	0.48389821	0.25272708	0.31067876	0.3597069	0.21032347	0.24420972	0.26462302	0.25418613	0.24834496	0.24005018	0.29517423	0.22169311	0.29559089	0.21335269	0.26155819	0.21676714	0.20879092	0.56919739	0.32800317	0.27789875	0.30154641	0.2790405	0.21655315	0.5071044	0.49595222	0.2821911	0.54294374	0.20924644	0.4544367	0.31990444	0.4496505	0.4426023	0.36327589	0.27714522	0.4192672	0.44253963	0.43278823	0.45701566	0.43668258	0.45753974	0.39388806	0.27201638	0.47381432	0.27168963	0.57892711	0.31005684	0.44083592	0.36970821	0.32962499	0.43831307	0.4487875	0.41708211	0.53791774	0.26873949	0.39391912	0.47380357	0.44924048	0.35812887	0.45555541	0.42169797	0.41550792	0.42903939	0.2957991	0.27321345	0.27125157	0.45528008	0.25660074	0.2622517	0.44184864	0.43402189	0.35521777	0.45357472	0.33998546	0.44278591	0.43976048	0.44074243	0.42443939	0.45102302	0.39071784	0.32184765	0.31928982	0.45702392	0.31767287	0.44679035	0.42462501	0.45816684	0.24198021	0.4490529	0.44646531	0.45877533	0.45079194	0.26915593	0.3748367	0.44953114	0.41234448	0.44585943	0.31119259	0.4523926	0.44090657	0.44594751	0.33282024	0.42847501	0.45724209	0.28778122	0.46280742	0.45739199	0.26054236	0.3568973	0.44894323	0.43236897	0.4538987	0.4292058	0.35155693
DU7C	0.1586665	0.27421393	0.39697636	0.26664142	0.15109031	0.0	0.06036762	0.39085825	0.37538274	0.29289236	0.25259093	0.41751399	0.39125066	0.39244627	0.28128657	0.20875942	0.40310928	0.28105424	0.38692132	0.06985479	0.28028141	0.43526267	0.25245031	0.27842312	0.19848378	0.26973878	0.40862585	0.27610999	0.30735026	0.18761513	0.28459998	0.43574386	0.30761991	0.37690039	0.37616322	0.37127289	0.30880571	0.46074272	0.20920205	0.33245491	0.36428291	0.21130734	0.20506025	0.28402795	0.2705352	0.25194307	0.25725721	0.32071168	0.19183456	0.30905516	0.20542244	0.25814992	0.20092691	0.20280601	0.54471044	0.33491026	0.27684412	0.31477802	0.30792975	0.21468118	0.46408589	0.48094185	0.29564133	0.47190279	0.20533739	0.40171863	0.28141037	0.39138865	0.37652987	0.3044827	0.27115095	0.35174929	0.3758389	0.36468744	0.47888147	0.39219185	0.40636623	0.34760973	0.25306301	0.43509101	0.263142	0.60399376	0.25616073	0.38476269	0.31193862	0.29292072	0.37289084	0.40374343	0.36185676	0.56135311	0.24530054	0.34038539	0.43932798	0.39271773	0.388109	0.38721466	0.3622104	0.34840603	0.38730636	0.23432983	0.25637446	0.26069032	0.40466167	0.23615745	0.24451339	0.38096813	0.36443356	0.37863064	0.39533209	0.29368015	0.38404382	0.37212115	0.40601428	0.36573972	0.40212819	0.34154793	0.26862206	0.27611141	0.40611041	0.3242433	0.39989002	0.37738614	0.41120929	0.24774298	0.39428717	0.38366184	0.40495842	0.38045495	0.25489254	0.31226331	0.37933805	0.35793073	0.38363448	0.32263044	0.39129625	0.38519926	0.3962493	0.37203635	0.36966442	0.39129292	0.22679497	0.41326015	0.4059916	0.24617579	0.33455391	0.40696732	0.46274272	0.41021023	0.38285857	0.30407056
DU7A	0.14250642	0.26599467	0.40254628	0.25953878	0.14446011	0.06036762	0.0	0.40061991	0.3853582	0.27210226	0.24541725	0.42068707	0.39949016	0.40255427	0.25906619	0.19471118	0.41112388	0.2752808	0.39695866	0.06946493	0.25604901	0.43873963	0.23510557	0.27507556	0.19686656	0.26329034	0.41759977	0.27103395	0.29388234	0.18176913	0.28126846	0.43955696	0.29490871	0.39258441	0.38490724	0.37889435	0.29560741	0.46268888	0.20527075	0.33690171	0.36298599	0.20953748	0.19913933	0.26814989	0.2623839	0.24607313	0.24374017	0.31704306	0.18265082	0.31082466	0.19522018	0.2543985	0.20006171	0.20009969	0.54445364	0.33392754	0.27626214	0.31350484	0.31323751	0.2142791	0.47009933	0.48919441	0.30015839	0.48485809	0.20357989	0.40612285	0.27970313	0.40026267	0.38443741	0.30675598	0.26437285	0.35938899	0.38492852	0.37256224	0.48158059	0.40565843	0.41070789	0.36102555	0.24153921	0.44047373	0.26050152	0.6045948	0.26062119	0.39281629	0.31545876	0.29029544	0.38205394	0.41637499	0.3732111	0.56069227	0.23773272	0.35393453	0.44217606	0.40173741	0.38379032	0.39426164	0.37165272	0.35582331	0.38903192	0.23621919	0.25159244	0.26086022	0.40926631	0.23522787	0.24551077	0.38884083	0.37279564	0.38849262	0.40134201	0.29439385	0.39038318	0.37994761	0.4108361	0.37058118	0.41171885	0.35446955	0.26948346	0.27678347	0.41073433	0.32634112	0.4112924	0.38526492	0.41515509	0.25591704	0.40231441	0.39421628	0.41033752	0.38967415	0.2543329	0.31787123	0.38821137	0.36273153	0.39064142	0.32500354	0.40107627	0.39772956	0.40751368	0.37053033	0.3762719	0.39804188	0.22996395	0.41528667	0.4094853	0.24258093	0.32849563	0.41298306	0.45569522	0.41647229	0.38505673	0.30440792
FR7A	0.43098617	0.52682568	0.22391693	0.44876517	0.43723216	0.39085825	0.40061991	0.0	0.09574597	0.48506553	0.51050026	0.24449734	0.23401997	0.24290784	0.46354334	0.42944383	0.18387641	0.47291991	0.08467923	0.37819862	0.47837768	0.32754024	0.4802841	0.45907245	0.44451071	0.43221353	0.21966546	0.45454252	0.46713753	0.43892452	0.44585933	0.30440067	0.46877368	0.2014189	0.21391743	0.22387668	0.46289686	0.34786665	0.3410416	0.39284496	0.53445598	0.45521877	0.3465491	0.4690303	0.45660681	0.46978342	0.45166938	0.52792471	0.34651823	0.38928285	0.45136657	0.48060233	0.4344005	0.46651816	0.39938971	0.54826437	0.49985455	0.53159831	0.41211376	0.45350663	0.2601917	0.30308178	0.38463746	0.3362413	0.43870368	0.15863942	0.26482946	0.14340688	0.19084272	0.20741987	0.42553488	0.18055986	0.17207829	0.17972651	0.45785142	0.1291041	0.16921602	0.14453928	0.3752076	0.1840795	0.39736851	0.57551615	0.2278878	0.14578468	0.19402427	0.26707385	0.16332737	0.12022108	0.13811783	0.53927384	0.37471199	0.13937602	0.19354823	0.15204552	0.43978905	0.16625175	0.13294183	0.18379634	0.21916679	0.24959552	0.37518753	0.38206905	0.17615368	0.37421184	0.39241836	0.14803264	0.16732943	0.47443975	0.16481068	0.24317768	0.16863413	0.15180248	0.14563319	0.18704575	0.11731128	0.14630048	0.24654539	0.24810658	0.1664946	0.46171185	0.11740021	0.14298225	0.16765032	0.33825393	0.14567556	0.13386853	0.17365777	0.1719381	0.38393983	0.20051678	0.16111622	0.14318684	0.14512553	0.44995529	0.15115676	0.12312865	0.11564019	0.4468864	0.17586579	0.17126259	0.24988916	0.15317496	0.15352459	0.40398906	0.31575982	0.14368727	0.48483647	0.15542818	0.18165668	0.31707349
FR7C	0.41845894	0.51530233	0.21985816	0.44245898	0.42741321	0.37538274	0.3853582	0.09574597	0.0	0.47197884	0.49957789	0.24328965	0.22835014	0.23565983	0.44931687	0.42312694	0.18607284	0.4674007	0.0933185	0.36290739	0.46602319	0.32770799	0.46829505	0.45219298	0.43688854	0.42482356	0.21474761	0.44711627	0.46231384	0.43195081	0.44069772	0.30596078	0.46288907	0.20039687	0.2100175	0.21191009	0.45753421	0.35005552	0.32894623	0.39762643	0.52877915	0.44378596	0.33675333	0.46442867	0.4514743	0.45985039	0.44572755	0.51837754	0.33494458	0.38539396	0.44044322	0.47186434	0.42306735	0.45482657	0.41104012	0.5371891	0.490589	0.52061698	0.40278177	0.44322672	0.28391227	0.31574309	0.38106507	0.33791957	0.42605219	0.16943747	0.25418087	0.15468389	0.18677599	0.19675058	0.41715745	0.17986665	0.17386202	0.17352806	0.45353605	0.14486149	0.18568465	0.15335553	0.36793849	0.20608235	0.37972584	0.57452082	0.22142541	0.15832425	0.18440168	0.2524396	0.1673123	0.12935185	0.14358718	0.53779921	0.36622216	0.15035905	0.20331406	0.17434871	0.43923218	0.17779742	0.13913704	0.17493409	0.23506122	0.23720875	0.35944754	0.37316598	0.18223319	0.35539515	0.38437993	0.15653959	0.16654994	0.47159716	0.17832295	0.23075101	0.16900916	0.14956707	0.16188814	0.19283884	0.13383823	0.14799027	0.23220034	0.23568333	0.17962999	0.45475918	0.12436052	0.15297852	0.18856449	0.3250619	0.16062461	0.14642546	0.17565388	0.17802143	0.37526396	0.19018033	0.16216907	0.15897717	0.15934554	0.44563298	0.16840557	0.13886366	0.12853994	0.44773635	0.1946818	0.1802916	0.23842687	0.16978665	0.17699934	0.39550193	0.31219835	0.15649008	0.48245572	0.15735145	0.17600617	0.30035772
TC7B	0.22568942	0.16543103	0.4267466	0.29403224	0.24146391	0.29289236	0.27210226	0.48506553	0.47197884	0.0	0.15241727	0.42978449	0.43247752	0.44084753	0.15998691	0.26842194	0.45799268	0.34876932	0.48712012	0.26816845	0.05391271	0.46258923	0.06545459	0.34073788	0.2854304	0.28020598	0.44032391	0.33596913	0.28802532	0.26959977	0.30597462	0.48985484	0.28179527	0.47781113	0.47026746	0.45296591	0.27380665	0.51400162	0.24444749	0.37837623	0.31912905	0.24471232	0.24365277	0.32194627	0.34026606	0.20630359	0.29646921	0.19572912	0.26926182	0.3499987	0.18232114	0.21621132	0.21447809	0.19447019	0.59564822	0.24442632	0.23520284	0.22655056	0.33602247	0.2460645	0.54597393	0.55511417	0.37716387	0.56730691	0.27529285	0.46735385	0.29344477	0.46514171	0.44545109	0.38251038	0.32985293	0.42691939	0.45744642	0.4457089	0.50645829	0.48781283	0.46339061	0.44307235	0.29874941	0.51452519	0.27415372	0.61800046	0.36222421	0.47441253	0.3872705	0.29132608	0.44940056	0.49848955	0.45361464	0.57575255	0.32323886	0.43444155	0.51525698	0.46432725	0.39217162	0.46994592	0.45448022	0.43056799	0.40642108	0.32582685	0.28322586	0.3169268	0.45762695	0.27994321	0.31495409	0.44756911	0.45635278	0.4589155	0.45094731	0.34427239	0.44622034	0.45388157	0.48972042	0.4173218	0.49547065	0.43528627	0.33394232	0.33730051	0.46284175	0.3759329	0.49461774	0.46791278	0.47575863	0.35896746	0.46861355	0.48138096	0.45653206	0.47703989	0.3009285	0.39004729	0.46691855	0.43857029	0.4566833	0.37088098	0.46667413	0.4822587	0.49149086	0.40152481	0.42661806	0.46188818	0.32315711	0.48747879	0.47790306	0.30062687	0.27755919	0.4964367	0.46902446	0.49615219	0.44145849	0.38104222
